time,EXTIN,INFLOW,FROMMVR,GWF,OUTFLOW,EXTOUT,TOMVR
37142400.00000,185.0000000,1018.894385,227.8516771,5.182220365,-1018.894385,-199.6320829,-208.0373739
37317600.00000,185.0000000,1018.861301,227.8199839,5.189736567,-1018.861301,-199.5926254,-208.0376219
37492800.00000,185.0000000,1018.833282,227.7929496,5.196261219,-1018.833282,-199.5588282,-208.0378602
37668000.00000,185.0000000,1018.809720,227.7700253,5.201911679,-1018.809720,-199.5300211,-208.0380925
37843200.00000,185.0000000,1018.802105,227.7628200,5.206885613,-1018.802105,-199.5176120,-208.0383224
38018400.00000,185.0000000,1018.799866,227.7609035,5.211523056,-1018.799866,-199.5108275,-208.0385529
38193600.00000,185.0000000,1018.797828,227.7591310,5.215945063,-1018.797828,-199.5044115,-208.0387744
38368800.00000,185.0000000,1018.795985,227.7575023,5.220165731,-1018.795985,-199.4983478,-208.0389888
38544000.00000,185.0000000,1018.794331,227.7560183,5.224194541,-1018.794331,-199.4926235,-208.0392003
38719200.00000,185.0000000,1018.792863,227.7546811,5.228039054,-1018.792863,-199.4872297,-208.0394123
38894400.00000,185.0000000,1018.791577,227.7534861,5.231707319,-1018.791577,-199.4821511,-208.0396277
39069600.00000,185.0000000,1018.790468,227.7524303,5.235207094,-1018.790468,-199.4773749,-208.0398484
39244800.00000,185.0000000,1018.789525,227.7514989,5.238547632,-1018.789525,-199.4728774,-208.0400738
39420000.00000,185.0000000,1018.788724,227.7506484,5.241740543,-1018.788724,-199.4686074,-208.0403005
39595200.00000,185.0000000,1018.788024,228.0002029,5.245197027,-1018.788024,-199.7144845,-208.0405213
39770400.00000,185.0000000,1018.794143,228.0026889,5.241386649,-1018.794143,-199.7205654,-208.0407369
39945600.00000,185.0000000,1018.800193,228.0050203,5.237552706,-1018.800193,-199.7265214,-208.0409461
40120800.00000,185.0000000,1018.805802,228.0069900,5.234041293,-1018.805802,-199.7318067,-208.0411421
40296000.00000,185.0000000,1018.810962,228.0085839,5.230839012,-1018.810962,-199.7364265,-208.0413184
40471200.00000,185.0000000,1018.815670,228.0098035,5.227931284,-1018.815670,-199.7404025,-208.0414697
40646400.00000,185.0000000,1018.819926,228.0106572,5.225304519,-1018.819926,-199.7437618,-208.0415908
40821600.00000,185.0000000,1018.823738,228.0111701,5.222944090,-1018.823738,-199.7465468,-208.0416792
40996800.00000,185.0000000,1018.827116,228.0113297,5.220836429,-1018.827116,-199.7487610,-208.0417323
41172000.00000,185.0000000,1018.830248,228.0115307,5.218889136,-1018.830248,-199.7508190,-208.0418226
41347200.00000,185.0000000,1018.844221,228.0228468,5.217313201,-1018.844221,-199.7635713,-208.0419623
41522400.00000,185.0000000,1018.860139,228.0365053,5.216616004,-1018.860139,-199.7781033,-208.0417860
41697600.00000,185.0000000,1018.871561,228.0460226,5.216654648,-1018.871561,-199.7880189,-208.0413490
41872800.00000,185.0000000,1018.879781,228.0524929,5.216734970,-1018.879781,-199.7945466,-208.0412112
42048000.00000,185.0000000,1018.885726,228.0568050,5.216786475,-1018.885726,-199.7986712,-208.0413473
42223200.00000,185.0000000,1018.919246,228.2133451,5.215603378,-1018.919246,-199.9560144,-208.0417273
42398400.00000,185.0000000,1018.949710,228.2412470,5.213256154,-1018.949710,-199.9856643,-208.0423265
42573600.00000,185.0000000,1018.970415,228.2597434,5.211583163,-1018.970415,-200.0050908,-208.0430694
42748800.00000,185.0000000,1018.984623,228.2720350,5.210199127,-1018.984623,-200.0177643,-208.0440716
42924000.00000,185.0000000,1018.994541,228.2802741,5.208874008,-1018.994541,-200.0260159,-208.0453842
43099200.00000,185.0000000,1019.001625,228.2858557,5.207520217,-1019.001625,-200.0313594,-208.0469761
43274400.00000,185.0000000,1019.006865,228.2897256,5.206087065,-1019.006865,-200.0348210,-208.0488175
43449600.00000,185.0000000,1019.010866,228.2924296,5.204609545,-1019.010866,-200.0370018,-208.0508182
43624800.00000,185.0000000,1019.014119,228.2944608,5.203065446,-1019.014119,-200.0384358,-208.0529595
43800000.00000,185.0000000,1019.016889,228.2960513,5.201485107,-1019.016889,-200.0393794,-208.0551869
43975200.00000,185.0000000,1019.020563,228.2986165,5.189615658,-1019.020563,-200.0412596,-208.0677412
44150400.00000,185.0000000,1019.025724,228.3027413,5.172860500,-1019.025724,-200.0446705,-208.0852103
44325600.00000,185.0000000,1019.032100,228.3081333,5.157695018,-1019.032100,-200.0493281,-208.1011102
44500800.00000,185.0000000,1019.039501,228.3145974,5.143479767,-1019.039501,-200.0550434,-208.1160742
44676000.00000,185.0000000,1019.047756,228.3219600,5.130151271,-1019.047756,-200.0616471,-208.1301616
44851200.00000,185.0000000,1019.222508,228.8709069,5.114645926,-1019.222508,-200.6127105,-208.1435506
45026400.00000,185.0000000,1019.317916,228.9672362,5.098116521,-1019.317916,-200.7125699,-208.1565498
45201600.00000,185.0000000,1019.385850,229.0422629,5.083588199,-1019.385850,-200.7894022,-208.1692725
45376800.00000,185.0000000,1019.440181,229.1055149,5.070084752,-1019.440181,-200.8534700,-208.1819601
45552000.00000,185.0000000,1019.487248,229.1612520,5.057221596,-1019.487248,-200.9094008,-208.1946296
45727200.00000,185.0000000,1019.530058,229.2122331,5.048100280,-1019.530058,-200.9601627,-208.2039702
45902400.00000,185.0000000,1019.570658,229.2608427,5.040126998,-1019.570658,-201.0082670,-208.2124487
46077600.00000,185.0000000,1019.610326,229.3083938,5.031999404,-1019.610326,-201.0551006,-208.2212939
46252800.00000,185.0000000,1019.650432,229.3564475,5.023417846,-1019.650432,-201.1022966,-208.2307331
46428000.00000,185.0000000,1019.692408,229.4066192,5.014352170,-1019.692408,-201.1515528,-208.2407142
46603200.00000,185.0000000,1019.735780,229.4580571,5.004868608,-1019.735780,-201.2019996,-208.2511888
46778400.00000,185.0000000,1019.781452,229.5119682,4.992722602,-1019.781452,-201.2548811,-208.2643645
46953600.00000,185.0000000,1019.847192,229.5703646,4.950402836,-1019.847192,-201.3121749,-208.3077869
47128800.00000,185.0000000,1019.933527,229.6327051,4.893331614,-1019.933527,-201.3733083,-208.3660652
47304000.00000,185.0000000,1020.022638,229.6986244,4.831893022,-1020.022638,-201.4379087,-208.4288226
47479200.00000,185.0000000,1019.481904,228.2082188,4.769993709,-1019.481904,-199.9462923,-208.4919328
47654400.00000,185.0000000,1019.548964,228.2566871,4.716167063,-1019.548964,-199.9869581,-208.5535619
47829600.00000,185.0000000,1019.620230,228.3100352,4.663036340,-1019.620230,-200.0329694,-208.6140294
48004800.00000,185.0000000,1019.695563,228.3684724,4.610423951,-1019.695563,-200.0845602,-208.6734882
48180000.00000,185.0000000,1019.806634,228.4395495,4.530532608,-1019.806634,-200.1496054,-208.7594115
48355200.00000,185.0000000,1019.929585,228.5287260,4.448517113,-1019.929585,-200.2338387,-208.8463703
48530400.00000,185.0000000,1020.062591,228.6331701,4.349057658,-1020.062591,-200.3343044,-208.9498081
48705600.00000,185.0000000,1020.205850,228.7500292,4.239597604,-1020.205850,-200.4480508,-209.0623808
48880800.00000,185.0000000,1020.357643,228.8768818,4.133583675,-1020.357643,-200.5725637,-209.1707345
49056000.00000,185.0000000,1020.516908,229.0142616,4.030764926,-1020.516908,-200.7083107,-209.2751860
49231200.00000,185.0000000,1020.682418,229.1597798,3.930966959,-1020.682418,-200.8528192,-209.3759937
49406400.00000,185.0000000,1020.854641,229.3155618,3.833525603,-1020.854641,-201.0081434,-209.4738928
49581600.00000,185.0000000,1021.035515,229.4904895,3.738010418,-1021.035515,-201.1833104,-209.5691687
49756800.00000,185.0000000,1021.223936,229.6750424,3.644649447,-1021.223936,-201.3686402,-209.6617528
49932000.00000,185.0000000,1021.418241,229.8697335,3.554214749,-1021.418241,-201.5645266,-209.7509922
50107200.00000,185.0000000,1021.655287,230.1642454,3.473018217,-1021.655287,-201.8601918,-209.8310354
50282400.00000,185.0000000,1021.848194,230.3696579,3.401714336,-1021.848194,-202.0667213,-209.9012223
50457600.00000,185.0000000,1022.128293,230.6714915,3.347800749,-1022.128293,-202.3667573,-209.9569334
50632800.00000,185.0000000,1022.476279,231.0436210,3.303812263,-1022.476279,-202.7334597,-210.0063490
50808000.00000,185.0000000,1022.765106,231.3609580,3.274469258,-1022.765106,-203.0432758,-210.0432130
50983200.00000,185.0000000,1023.005513,231.6308951,3.248745464,-1023.005513,-203.3045731,-210.0775765
51158400.00000,185.0000000,1023.218456,231.8654364,3.227368755,-1023.218456,-203.5297567,-210.1083109
51333600.00000,185.0000000,1023.410914,232.0761408,3.212363227,-1023.410914,-203.7305497,-210.1332279
51508800.00000,185.0000000,1023.587693,232.2721906,3.201436541,-1023.587693,-203.9162626,-210.1544914
51684000.00000,185.0000000,1023.756865,232.4575396,3.189637316,-1023.756865,-204.0909301,-210.1769722
51859200.00000,185.0000000,1023.918517,232.6325890,3.184801082,-1023.918517,-204.2550010,-210.1927869
52034400.00000,185.0000000,1024.072853,232.7979842,3.179034726,-1024.072853,-204.4091283,-210.2098212
52209600.00000,185.0000000,1024.224470,232.9612188,3.173678650,-1024.224470,-204.5609067,-210.2266334
52384800.00000,185.0000000,1024.388123,233.1648033,3.172449223,-1024.388123,-204.7527939,-210.2395603
52560000.00000,185.0000000,1024.539470,233.3365748,3.170021612,-1024.539470,-204.9123905,-210.2541627
52735200.00000,185.0000000,1024.629399,233.3886496,3.168246501,-1024.629399,-204.9521892,-210.2682140
52910400.00000,185.0000000,1024.761570,233.5300841,3.170738040,-1024.761570,-205.0808051,-210.2785409
53085600.00000,185.0000000,1024.889968,233.6726103,3.172015226,-1024.889968,-205.2101201,-210.2904750
53260800.00000,185.0000000,1025.013711,233.8090983,3.172256604,-1025.013711,-205.3330507,-210.3037911
53436000.00000,185.0000000,1025.130324,233.9338223,3.171662101,-1025.130324,-205.4439718,-210.3181884
53611200.00000,185.0000000,1025.240340,234.0490840,3.170306818,-1025.240340,-205.5452756,-210.3335015
53786400.00000,185.0000000,1025.342642,234.1576625,3.171504144,-1025.342642,-205.6398128,-210.3463455
53961600.00000,185.0000000,1025.438762,234.2606303,3.174003935,-1025.438762,-205.7287958,-210.3578306
54136800.00000,185.0000000,1025.530611,234.3574214,3.175592989,-1025.530611,-205.8117322,-210.3700962
