time,LAK1_STAGE,LAK2_STAGE,LAK1_TO-MVR,LAK1_FROM-MVR,LAK2_TO-MVR,LAK2_FROM-MVR
32412000.00000,1041.256160,1001.419102,-32.83588410,31.22706147,-188.2932860,176.7925423
32587200.00000,1041.256219,1001.419098,-32.83847336,31.22706147,-188.2923124,176.7934628
32762400.00000,1041.256277,1001.419093,-32.84101103,31.22706147,-188.2913436,176.7943873
32937600.00000,1041.256334,1001.419089,-32.84349154,31.22706147,-188.2903925,176.7953086
33112800.00000,1041.256390,1001.419085,-32.84590897,31.22706147,-188.2894674,176.7962188
33288000.00000,1041.256444,1001.419081,-32.84826042,31.22706147,-188.2885747,176.7971131
33463200.00000,1041.256496,1001.419077,-32.85054507,31.22706147,-188.2877150,176.7979868
33638400.00000,1041.256547,1001.419073,-32.85276412,31.22706147,-188.2868890,176.7988381
33813600.00000,1041.256596,1001.419070,-32.85491949,31.22706147,-188.2860989,176.7996673
33988800.00000,1041.256645,1001.419066,-32.85701303,31.22706147,-188.2853475,176.8004751
34164000.00000,1041.256691,1001.419063,-32.85904929,31.22706147,-188.2846421,176.8012665
34339200.00000,1041.256737,1001.419060,-32.86105117,31.22706147,-188.2840012,176.8020603
34514400.00000,1041.256782,1001.419058,-32.86301137,31.22706147,-188.2834011,176.8028336
34689600.00000,1041.256826,1001.419055,-32.86492297,31.22706147,-188.2828154,176.8035778
34864800.00000,1041.256869,1001.419052,-32.86678666,31.22706147,-188.2822461,176.8042938
35040000.00000,1041.256910,1001.419050,-32.86860419,31.22706147,-188.2816925,176.8049839
35215200.00000,1041.256951,1001.419047,-32.87037711,31.22706147,-188.2811476,176.8056494
35390400.00000,1041.256991,1001.419045,-32.87210235,31.22706147,-188.2806168,176.8062866
35565600.00000,1041.257029,1001.419043,-32.87377014,31.22706147,-188.2800979,176.8068832
35740800.00000,1041.257066,1001.419040,-32.87537427,31.22706147,-188.2795845,176.8074306
35916000.00000,1041.257101,1001.419038,-32.87691638,31.22706147,-188.2790679,176.8079303
36091200.00000,1041.257135,1001.419036,-32.87839685,31.22706147,-188.2785367,176.8083820
36266400.00000,1041.257168,1001.419033,-32.87981688,31.22706147,-188.2779822,176.8087865
36441600.00000,1041.257199,1001.419030,-32.88118133,31.22706147,-188.2774030,176.8091496
36616800.00000,1041.257229,1001.419028,-32.88249470,31.22706147,-188.2768021,176.8094769
36792000.00000,1041.257258,1001.419025,-32.88376156,31.22706147,-188.2761871,176.8097741
36967200.00000,1041.257286,1001.419022,-32.88498940,31.22706147,-188.2755631,176.8100507
37142400.00000,1041.257314,1001.419019,-32.88618343,31.22706147,-188.2749348,176.8103124
37317600.00000,1041.257340,1001.419016,-32.88734429,31.22706147,-188.2743080,176.8105605
37492800.00000,1041.257366,1001.419014,-32.88847505,31.22706147,-188.2736919,176.8107987
37668000.00000,1041.257391,1001.419011,-32.88957886,31.22706147,-188.2730953,176.8110311
37843200.00000,1041.257416,1001.419008,-32.89065850,31.22706147,-188.2725258,176.8112609
38018400.00000,1041.257440,1001.419006,-32.89171645,31.22706147,-188.2719892,176.8114914
38193600.00000,1041.257464,1001.419004,-32.89275493,31.22706147,-188.2714874,176.8117129
38368800.00000,1041.257488,1001.419002,-32.89377614,31.22706147,-188.2710226,176.8119273
38544000.00000,1041.257511,1001.419000,-32.89478195,31.22706147,-188.2705984,176.8121388
38719200.00000,1041.257533,1001.418998,-32.89577371,31.22706147,-188.2702184,176.8123509
38894400.00000,1041.257556,1001.418996,-32.89675285,31.22706147,-188.2698850,176.8125662
39069600.00000,1041.257578,1001.418995,-32.89772049,31.22706147,-188.2695995,176.8127869
39244800.00000,1041.257600,1001.418994,-32.89867686,31.22706147,-188.2693589,176.8130123
39420000.00000,1041.257622,1001.418993,-32.89962127,31.22706147,-188.2691496,176.8132390
39595200.00000,1041.257643,1001.418992,-32.90055051,31.22706147,-188.2689463,176.8134599
39770400.00000,1041.257664,1001.418991,-32.90146228,31.22706147,-188.2687285,176.8136754
39945600.00000,1041.257684,1001.418990,-32.90235447,31.22706147,-188.2684694,176.8138847
40120800.00000,1041.257704,1001.418989,-32.90322518,31.22706147,-188.2681452,176.8140806
40296000.00000,1041.257724,1001.418987,-32.90407196,31.22706147,-188.2677334,176.8142569
40471200.00000,1041.257743,1001.418984,-32.90489219,31.22706147,-188.2672189,176.8144082
40646400.00000,1041.257761,1001.418982,-32.90568352,31.22706147,-188.2665911,176.8145294
40821600.00000,1041.257778,1001.418978,-32.90644519,31.22706147,-188.2658432,176.8146178
40996800.00000,1041.257795,1001.418974,-32.90717562,31.22706147,-188.2649718,176.8146708
41172000.00000,1041.257811,1001.418970,-32.90789525,31.22706147,-188.2640856,176.8147611
41347200.00000,1041.257828,1001.418966,-32.90860832,31.22706147,-188.2632053,176.8149008
41522400.00000,1041.257844,1001.418962,-32.90932251,31.22706147,-188.2623527,176.8147245
41697600.00000,1041.257861,1001.418959,-32.91004154,31.22706147,-188.2615482,176.8142875
41872800.00000,1041.257877,1001.418955,-32.91076361,31.22706147,-188.2608054,176.8141498
42048000.00000,1041.257894,1001.418952,-32.91148664,31.22706147,-188.2601468,176.8142858
42223200.00000,1041.257910,1001.418950,-32.91220851,31.22706147,-188.2595826,176.8146659
42398400.00000,1041.257927,1001.418948,-32.91292831,31.22706147,-188.2591214,176.8152650
42573600.00000,1041.257943,1001.418946,-32.91364343,31.22706147,-188.2587440,176.8160079
