#rno k i j rlen rwid rgrd rtp rbth rhk man ncon ustrf ndv line_id
140 1 25 13 332.71286 24.989269256591797 0.0006001122695275828 29.988128662109375 1 1.9481187 0.03700000047683716 2 1.0 0 17956665
141 1 22 4 249.20512 31.972576141357422 1e-05 30.79560089111328 1 1.0 0.03700000047683716 2 1.0 0 17958241
142 1 27 8 878.60504 4.710675976756266 1e-05 34.46635437011719 1 1.7644643 0.03700000047683716 1 1.0 0 17956823
143 1 27 9 1366.097 4.778867980059545 0.00026093216804081327 34.46635437011719 1 1.0 0.03700000047683716 2 1.0 0 17956823
144 1 28 8 559.20264 4.733354806900024 0.00108426391861319 34.71621894836426 1 1.0 0.03700000047683716 1 1.0 0 17956827
145 4 26 16 906.6547 6.4151479586480535 0.00041086039994603477 33.55597488651043 1 1.0 0.03700000047683716 2 1.0 0 17956825
146 4 27 16 961.4014 6.454799721545559 0.00027865015696989566 33.18346636394507 1 1.0 0.03700000047683716 2 1.0 0 17956825
147 1 27 15 382.0371 6.483315835546051 0.0006817189707303155 32.91557170505975 1 1.0 0.03700000047683716 2 1.0 0 17956825
148 1 25 12 389.01617 25.071840286254883 0.0003185458146728578 29.788463592529297 1 1.91045 0.03700000047683716 2 1.0 0 17956683
149 4 1 7 1223.4786 19.001349449157715 0.00029435416443632115 33.28005027770996 1 1.0 0.03700000047683716 1 1.0 0 17955371
150 1 15 3 57.37843 31.67931889116843 1e-05 30.79560089111328 1 1.0 0.03700000047683716 1 1.0 0 17958205
151 1 16 3 1365.5012 31.688009695014657 1e-05 30.79560089111328 1 1.0 0.03700000047683716 2 1.0 0 17958205
152 1 17 3 1317.9648 31.704400032431753 1e-05 30.79560089111328 1 1.0 0.03700000047683716 2 1.0 0 17958205
153 4 26 33 1184.1481 70.53642272949219 1e-05 34.17790222167969 1 1.0 0.03700000047683716 1 1.0 0 18022250
154 4 9 25 1072.6873 3.4199737789245113 1e-05 36.61037063598633 1 1.0 0.03700000047683716 1 1.0 0 18046688
155 4 9 26 1053.1478 3.4928601183246 1e-05 36.61037063598633 1 1.0 0.03700000047683716 2 1.0 0 18046688
156 1 2 2 1005.48914 4.602405738831496 0.0001602607373224719 36.22855397149391 1 1.0 0.03700000047683716 1 1.0 0 17955487
157 1 3 2 685.7572 4.67914266032527 0.001 36.06741354123013 1 1.0 0.03700000047683716 1 1.0 0 17955487
158 4 17 22 223.72618 2.9675599336624146 0.001 36.7502326965332 1 1.0 0.03700000047683716 0 1.0 0 17956199
159 1 22 3 247.41435 31.98225975036621 0.001 30.79560089111328 1 9.769261 0.03700000047683716 1 1.0 0 17956403
160 1 25 3 445.9215 33.37200597171941 1e-05 30.79560089111328 1 1.0 0.03700000047683716 1 1.0 0 17956869
161 1 26 3 340.44287 33.384976646770255 1e-05 30.79560089111328 1 1.7773949 0.03700000047683716 2 1.0 0 17956869
162 1 27 3 541.9512 33.39953128160742 1e-05 30.79560089111328 1 2.0862062 0.03700000047683716 2 1.0 0 17956869
163 1 28 3 670.21356 33.41952531096399 0.001 30.79560089111328 1 1.0 0.03700000047683716 1 1.0 0 17956869
164 1 28 9 594.91943 4.934948205947876 0.001 34.10989570617676 1 3.1808918 0.03700000047683716 2 1.0 0 17956879
165 4 24 16 286.62708 3.0383500154008076 0.0002756497341941029 32.64890206392305 1 1.0 0.03700000047683716 1 1.0 0 17956913
