rno,node,k,i,j,iseg,ireach,rchlen,width,slope,strtop,strthick,strhc1,thts,thti,eps,uhc,outreach,outseg,asum,line_id,name
203,925,3,26,15,66,2,961.4014,6.446373,0.0002387811373827711,33.262632652082814,1,1.0,0.0,0.0,0.0,0.0,204,72,-1.2384334,17956825,Turkey Bayou
204,924,0,26,14,66,3,382.0371,6.470809,0.00033892009297762466,33.03306812557039,1,1.0,0.0,0.0,0.0,0.0,205,72,-0.5667141,17956825,Turkey Bayou
205,959,0,27,14,66,4,375.69556,6.4845915,0.00054812212682402,32.90358807294011,1,1.0,0.0,0.0,0.0,0.0,217,72,-0.18784778,17956825,Turkey Bayou
206,886,0,25,11,67,1,942.08777,25.078712,0.0001,29.721564292907715,1,1.0,0.0,0.0,0.0,0.0,220,73,-0.47104388,17956745,None
207,304,3,8,24,68,1,1072.6873,3.421637,0.0001,36.61037063598633,1,1.0,0.0,0.0,0.0,0.0,208,75,-1.6209774,18046688,None
208,305,3,8,25,68,2,1053.1478,3.492017,0.0001,36.61037063598633,1,1.0,0.0,0.0,0.0,0.0,226,75,-0.5580599,18046688,None
209,906,3,25,31,69,1,303.75287,69.276596,0.0001,34.17790222167969,1,1.0,0.0,0.0,0.0,0.0,232,76,-0.15187643,18022244,Yalobusha River
210,240,3,6,30,70,1,991.55597,70.360214,0.0001,36.46606636047363,1,1.0,0.0,0.0,0.0,0.0,234,77,-0.495778,18047208,Tallahatchie River
211,820,3,23,15,71,1,286.62708,3.0351226,0.0002159870455209411,32.651860610928054,1,1.0,0.0,0.0,0.0,0.0,212,0,-4.6401978,17956913,None
212,854,3,24,14,71,2,1370.1298,3.1031506,0.0001,32.58995287579031,1,1.0,0.0,0.0,0.0,0.0,213,0,-3.7796285,17956913,None
213,889,3,25,14,71,3,364.64728,3.1717176,0.00010918689195298647,32.52512977603362,1,1.0,0.0,0.0,0.0,0.0,214,0,-2.91224,17956913,None
214,888,3,25,13,71,4,700.86237,3.213832,0.0001,32.485315073108026,1,1.0,0.0,0.0,0.0,0.0,215,0,-2.3794854,17956913,None
215,923,0,26,13,71,5,1000.6598,3.2810848,0.0001,32.42173458890073,1,1.0,0.0,0.0,0.0,0.0,216,0,-1.5287242,17956913,None
