rno,node,k,i,j,iseg,ireach,rchlen,width,slope,strtop,strthick,strhc1,thts,thti,eps,uhc,outreach,outseg,asum,line_id,name
17,186,3,5,11,8,3,463.55713,18.518179,0.0002830865803015984,35.00439354092419,1,1.0,0.0,0.0,0.0,0.0,18,10,-2.5320733,17955663,Dugan Bayou
18,185,3,5,10,8,4,1134.8866,18.528713,0.00016639873235323543,34.873166738527694,1,1.0,0.0,0.0,0.0,0.0,19,10,-1.7328515,17955663,Dugan Bayou
19,220,3,6,10,8,5,1165.3746,18.543873,0.000489956322295624,34.684323047475516,1,1.0,0.0,0.0,0.0,0.0,21,10,-0.5827209,17955663,Dugan Bayou
20,144,0,4,4,9,1,640.0313,19.535055,1e-05,32.91991424560547,1,1.7884132,0.0,0.0,0.0,0.0,22,11,-0.32001564,17979475,None
21,255,3,7,10,10,1,136.09346,18.556557,0.003645929861584584,34.11334037780762,1,1.0,0.0,0.0,0.0,0.0,23,12,-0.30960906,17955689,None
22,143,0,4,3,11,1,1021.2361,19.637693,1e-05,32.91991424560547,1,1.0,0.0,0.0,0.0,0.0,24,13,-1.3940649,17979089,None
23,254,3,7,9,12,1,254.3504,18.793036,0.0001072699905528795,33.61715316772461,1,3.839421,0.0,0.0,0.0,0.0,30,15,-0.28090885,17955739,Rattlesnake Bayou
24,178,0,5,3,13,1,521.1865,19.808,1e-05,32.91991424560547,1,2.68151,0.0,0.0,0.0,0.0,32,16,-1.1508172,17958139,None
25,337,3,9,22,14,1,636.6879,4.0219703,1e-05,38.27274703979492,1,1.0,0.0,0.0,0.0,0.0,26,17,-3.8570645,17955893,None
26,301,3,8,21,14,2,395.87054,4.053239,1e-05,38.27274703979492,1,1.0,0.0,0.0,0.0,0.0,27,17,-3.2976532,17955893,None
27,336,3,9,21,14,3,1108.653,4.095287,1e-05,38.27274703979492,1,1.0,0.0,0.0,0.0,0.0,28,17,-2.5453913,17955893,None
28,371,3,10,21,14,4,227.21962,4.1326213,1e-05,38.27274703979492,1,1.0,0.0,0.0,0.0,0.0,29,17,-1.877455,17955893,None
29,370,3,10,20,14,5,1150.314,4.1711206,3.1871549347538644e-05,38.27274703979492,1,1.0,0.0,0.0,0.0,0.0,36,17,-1.1886883,17955893,None
30,289,3,8,9,15,1,577.2553,18.828735,2.174803385097867e-05,33.589869002415696,1,1.2658509,0.0,0.0,0.0,0.0,31,18,-1.0663044,938030572,Rattlesnake Bayou
31,290,3,8,10,15,2,553.964,18.836073,0.0001461910426161766,33.577314834391885,1,1.0,0.0,0.0,0.0,0.0,38,18,-0.50069475,938030572,Rattlesnake Bayou
32,212,0,6,2,16,1,400.04425,19.845434,1e-05,32.91991424560547,1,2.0976317,0.0,0.0,0.0,0.0,33,19,-3.8059025,17958153,None
33,213,0,6,3,16,2,82.16827,19.848406,1e-05,32.91991424560547,1,6.473733,0.0,0.0,0.0,0.0,34,19,-3.5647962,17958153,None
34,248,0,7,3,16,3,1804.2799,19.860031,1e-05,32.91991424560547,1,1.0,0.0,0.0,0.0,0.0,35,19,-2.6215723,17958153,None
35,283,0,8,3,16,4,68.28311,19.87157,1e-05,32.91991424560547,1,1.0,0.0,0.0,0.0,0.0,39,19,-1.6852907,17958153,None
36,369,3,10,19,17,1,656.8548,4.348885,0.00014810626945322986,38.23608475149924,1,1.9064517,0.0,0.0,0.0,0.0,37,20,-2.0920699,17955879,None
37,333,3,9,18,17,2,1086.1262,4.396826,0.000550872539012579,38.13880043788931,1,1.0,0.0,0.0,0.0,0.0,45,20,-1.1794684,17955879,None
38,325,3,9,10,18,1,1053.5045,18.98926,2.0576058444245636e-05,33.49633026123047,1,1.2811897,0.0,0.0,0.0,0.0,52,23,-0.73781115,17955835,None
39,284,0,8,4,19,1,222.74397,19.893711,1e-05,32.91991424560547,1,8.408465,0.0,0.0,0.0,0.0,40,24,-4.2855144,17957903,None
40,319,0,9,4,19,2,203.54909,19.90616,1e-05,32.91991424560547,1,3.3933082,0.0,0.0,0.0,0.0,41,24,-3.2729118,17957903,None
41,320,0,9,5,19,3,263.05402,19.909029,1e-05,32.91991424560547,1,2.1860976,0.0,0.0,0.0,0.0,42,24,-3.0396101,17957903,None
42,355,0,10,5,19,4,1228.1797,19.918196,1e-05,32.91991424560547,1,1.0,0.0,0.0,0.0,0.0,43,24,-2.2939932,17957903,None
43,356,3,10,6,19,5,651.97723,19.929752,1e-05,32.91991424560547,1,1.0,0.0,0.0,0.0,0.0,44,24,-1.3539149,17957903,None
