,rno,node,k,i,j,iseg,ireach,rchlen,width,slope,strtop,strthick,strhc1,thts,thti,eps,uhc,outreach,outseg,asum,line_id,name,geometry
559,48,13572,0,84,132,3,39,226.75629,6.1005797,0.005533571048950452,1304.21924791647,1,1.0,0.0,0.0,0.0,0.0,49,6,2487.3027,1815711,None,"LINESTRING (692822.6 5141056.818162064, 692785.2489937956 5141038.988854793, 692758.1328921288 5141033.2)"
560,49,13732,0,85,132,3,40,39.361153,6.1504326,0.03533786923750457,1302.964475893656,1,1.0,0.0,0.0,0.0,0.0,50,6,2527.859,1815711,None,"LINESTRING (692758.1328921288 5141033.2, 692746.4 5141030.695214848)"
561,50,13731,0,85,131,3,41,255.63345,6.2052336,0.010258485247756534,1301.5735366283109,1,1.0,0.0,0.0,0.0,0.0,51,6,2572.8162,1815711,None,"LINESTRING (692746.4 5141030.695214848, 692670.2 5141014.427731394)"
562,51,13730,0,85,130,3,42,300.53873,6.3072743,0.005817350583941849,1298.9511246180905,1,1.0,0.0,0.0,0.0,0.0,52,6,2657.577,1815711,None,"LINESTRING (692670.2 5141014.427731394, 692616.1729672332 5141002.893822449, 692594 5140974.077340415)"
563,52,13729,0,85,129,3,43,70.25732,6.374408,0.025861985879971627,1297.2027854802047,1,1.0,0.0,0.0,0.0,0.0,53,6,2714.0862,1815711,None,"LINESTRING (692594 5140974.077340415, 692582.0619697126 5140958.562410379, 692581.0935829803 5140957)"
564,53,13889,0,86,129,3,44,315.09625,6.4434457,0.005036566247182798,1295.3857917506061,1,1.0,0.0,0.0,0.0,0.0,54,6,2772.814,1815711,None,"LINESTRING (692581.0935829803 5140957, 692567.5908307573 5140935.214447272, 692517.8 5140885.429648984)"
565,54,13888,0,86,128,3,45,21.481985,6.503153,0.06733755811515008,1293.798788600946,1,1.0,0.0,0.0,0.0,0.0,55,6,2824.1084,1815711,None,"LINESTRING (692517.8 5140885.429648984, 692513.1697900371 5140880.8)"
566,55,14048,0,87,128,3,46,285.30783,6.557108,0.009250941838269439,1292.3522441813736,1,1.0,0.0,0.0,0.0,0.0,56,6,2870.8633,1815711,None,"LINESTRING (692513.1697900371 5140880.8, 692491.3447887233 5140858.977642921, 692441.6 5140833.045118442)"
567,56,14047,0,87,127,3,47,274.46,6.654442,0.009388747926305764,1289.7128780325424,1,1.0,0.0,0.0,0.0,0.0,57,6,2956.1719,1815711,None,"LINESTRING (692441.6 5140833.045118442, 692428.8794303953 5140826.413740741, 692393.4292141488 5140822.70375883, 692365.4 5140841.352642457)"
568,57,14046,0,87,126,3,48,272.04498,6.7481318,0.00717521850081772,1287.1360423569147,1,1.0,0.0,0.0,0.0,0.0,58,6,3039.4592,1815711,None,"LINESTRING (692365.4 5140841.352642457, 692338.8545858522 5140859.014298493, 692289.2 5140870.804936076)"
