lakeno,cellid,claktype,bedleak,belev,telev,connlen,connwidth,zone,iconn
1,"(np.int64(0), np.int64(33), np.int64(44))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,194
1,"(np.int64(0), np.int64(32), np.int64(48))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,195
1,"(np.int64(1), np.int64(43), np.int64(48))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,196
1,"(np.int64(0), np.int64(35), np.int64(53))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,197
1,"(np.int64(0), np.int64(36), np.int64(36))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,198
1,"(np.int64(0), np.int64(36), np.int64(45))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,199
1,"(np.int64(0), np.int64(36), np.int64(54))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,200
1,"(np.int64(0), np.int64(28), np.int64(50))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,201
1,"(np.int64(0), np.int64(40), np.int64(33))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,202
1,"(np.int64(0), np.int64(40), np.int64(42))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,203
1,"(np.int64(0), np.int64(29), np.int64(51))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,204
1,"(np.int64(0), np.int64(40), np.int64(51))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,205
1,"(np.int64(0), np.int64(44), np.int64(30))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,206
1,"(np.int64(1), np.int64(32), np.int64(34))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,207
1,"(np.int64(0), np.int64(32), np.int64(43))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,208
1,"(np.int64(0), np.int64(43), np.int64(43))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,209
1,"(np.int64(1), np.int64(35), np.int64(39))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,210
1,"(np.int64(0), np.int64(32), np.int64(52))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,211
1,"(np.int64(0), np.int64(43), np.int64(52))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,212
1,"(np.int64(0), np.int64(35), np.int64(48))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,213
1,"(np.int64(0), np.int64(36), np.int64(40))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,214
1,"(np.int64(0), np.int64(36), np.int64(49))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,215
1,"(np.int64(0), np.int64(40), np.int64(37))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,216
1,"(np.int64(0), np.int64(39), np.int64(50))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,217
1,"(np.int64(0), np.int64(43), np.int64(29))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,218
1,"(np.int64(1), np.int64(32), np.int64(38))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,219
1,"(np.int64(0), np.int64(35), np.int64(34))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,220
1,"(np.int64(0), np.int64(32), np.int64(47))",vertical,0.045,0.0,0.0,0.0,0.0,littoral,221
1,"(np.int64(1), np.int64(43), np.int64(47))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,222
1,"(np.int64(0), np.int64(35), np.int64(43))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,223
1,"(np.int64(0), np.int64(35), np.int64(52))",vertical,0.025,0.0,0.0,0.0,0.0,profundal,224
