,b0,b1,b2,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
99,0,14,5,99,"(0, 14, 5)",1,199,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
100,1,0,0,100,"(1, 0, 0)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
101,1,0,1,101,"(1, 0, 1)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
102,1,1,0,102,"(1, 1, 0)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
103,1,1,1,103,"(1, 1, 1)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
104,1,1,2,104,"(1, 1, 2)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
105,1,1,5,105,"(1, 1, 5)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
106,1,1,6,106,"(1, 1, 6)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
107,1,1,7,107,"(1, 1, 7)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
108,1,2,1,108,"(1, 2, 1)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
109,1,2,2,109,"(1, 2, 2)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
110,1,2,3,110,"(1, 2, 3)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
111,1,2,4,111,"(1, 2, 4)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
112,1,2,5,112,"(1, 2, 5)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
113,1,2,6,113,"(1, 2, 6)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
114,1,2,7,114,"(1, 2, 7)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
115,1,3,0,115,"(1, 3, 0)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
116,1,3,1,116,"(1, 3, 1)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
117,1,3,2,117,"(1, 3, 2)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
118,1,3,3,118,"(1, 3, 3)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
119,1,3,4,119,"(1, 3, 4)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
120,1,3,5,120,"(1, 3, 5)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
121,1,3,6,121,"(1, 3, 6)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
122,1,3,7,122,"(1, 3, 7)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
123,1,3,8,123,"(1, 3, 8)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
124,1,4,0,124,"(1, 4, 0)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
125,1,4,1,125,"(1, 4, 1)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
126,1,4,2,126,"(1, 4, 2)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
